"Categoría","Nombre","Dirección","Teléfono","Latitud, Longitud","Servicios","Longitud","Latitud","Georreferencia punto"
"Hoteles","DINASTIA","CR 6 N 8 - 21","3127189297-3113052250","5.337504433252743,-75.73096051812172","Hospedaje","-7,573,096,051,812,170","5,337,504,433,252,740","POINT (-7573096051812170 5337504433252740)"
"Hoteles","PARAISO","CLL 8 N 9 - 50","3128211735","5.339388857673791,-75.73041569441557","Hospedaje","-7,573,041,569,441,550","5,339,388,857,673,790","POINT (-7573041569441550 5339388857673790)"
"Hoteles","PORCE 1","CLL 8 N 11-76","3108967003","5.3409373141697225, -75.73033964643025","Hospedaje","-7,573,033,964,643,020","53,409,373,141,697,200","POINT (-7573033964643020 53409373141697200)"
"Hoteles","CONTINENTAL MARIN","CLL 8 N 7 - 16","3113332688-3116041901","5.33791570228296,-75.73045860975981","Hospedaje","-7,573,045,860,975,980","533,791,570,228,296","POINT (-7573045860975980 533791570228296)"
"Hoteles","SALON FAMILIAR BACATA","CLL 5 N 6 - 26","3137339018","5.337670342951537,-75.72910945862532","Hospedaje","-7,572,910,945,862,530","5,337,670,342,951,530","POINT (-7572910945862530 5337670342951530)"
"Hoteles","HOTEL LA LUCIANA HL","CLL 8 N 7-30","3135205279","5.337965107959596,-75.73044653981924","Hospedaje","-7,573,044,653,981,920","5,337,965,107,959,590","POINT (-7573044653981920 5337965107959590)"
"Hoteles","HOTEL QUINCHIA","Calle 4 # 8-26","3113185831-3124925675","5.338536611172892,-75.72845097631216","Hospedaje","-7,572,845,097,631,210","5,338,536,611,172,890","POINT (-7572845097631210 5338536611172890)"
"Hoteles","APARTA HOTEL LA PLAZUELA","Calle 3 # 6- 13 piso 2 y 3, Parque la Plazuela, Barrio la Plazuela sede 1","3113744013 / 3128083040","5.337455027538997,-75.72804663330317","Hospedaje","-7,572,804,663,330,310","5,337,455,027,538,990","POINT (-7572804663330310 5337455027538990)"
"Hoteles","APARTA HOTEL LA PLAZUELA QII","CLL 4 N6-22 BARRIO LA PLAZUELA","3113744013 / 3128083040","5.337671010596121,-75.72850864380598","Hospedaje","-7,572,850,864,380,590","5,337,671,010,596,120","POINT (-7572850864380590 5337671010596120)"
"Hoteles","HOTEL EL DORADO","PARQUE PRINCIPAL ""SIMON BOLIVAR""","3113509848","5.337629, -75.729110","Hospedaje","-75,729,110","5,337,629","POINT (-75729110 5337629)"
"Hoteles","HOSTAL CASA BLANCA","BARRIO LA UNIÓN","3116274670 - 3168676997 - 3206149607","5.335807055636269, -75.72793047268839","Hospedaje","-7,572,793,047,268,830","5,335,807,055,636,260","POINT (-7572793047268830 5335807055636260)"
"Hoteles","GLAMPING ALTAMIRA","cra 8 # 10 47 Barrio Gobia Quinchía","311 5652282","5.33837536738676, -75.73226852627296","Hospedaje","-7,573,226,852,627,290","533,837,536,738,676","POINT (-7573226852627290 533837536738676)"
"Hospedaje rural","Glamping  Fincas Las Marias","Vereda Quinchia Viejo","3207345661","5.339967313343128, -75.72278660178566","Hospedaje, glamping, centro recreacional","-7,572,278,660,178,560","5,339,967,313,343,120","POINT (-7572278660178560 5339967313343120)"
"Hospedaje rural","Guppy","ALTA, FINCA LA DALIA, Vereda Río Grande","No registra","5.346255508186596, -75.72609965882401","Hospedaje, centro recreacional","-7,572,609,965,882,400","5,346,255,508,186,590","POINT (-7572609965882400 5346255508186590)"
"Hospedaje rural","La Sultana","Vereda Rio Grande","3103086707","5.348826, -75.721150","Hospedaje","-75,721,150","5,348,826","POINT (-75721150 5348826)"
"Asociaciones turísticas","ASOCIACIÓN DE TURISMO MONTAÑAS MAGICAS","Cll 7 8 -36 Barrio Niño Jesus","3113351842","5.338638321914022, -75.73008640195101","Operación turística","-7,573,008,640,195,100","5,338,638,321,914,020","POINT (-7573008640195100 5338638321914020)"
"Asociaciones turísticas","ASOCIACION GUARDIANES DE LOS CERROS","FINCA LA CARDELINA","3118584083-3116086500","5.33716252145293, -75.7292515411923","Operación turística","-757,292,515,411,923","533,716,252,145,293","POINT (-757292515411923 533716252145293)"
"Asociaciones turísticas","ONG NOMADAS","Barrio Jardín Cr 11 13-17","3008766637","5.340450065441729, -75.73394994207227","Operación turística","-7,573,394,994,207,220","5,340,450,065,441,720","POINT (-7573394994207220 5340450065441720)"
"Asociaciones turísticas","FUNDACIÒN FUERZA JUVENIL","Plaza principal","3164090278","5.337276751563344, -75.72931163765543","Operación turística","-7,572,931,163,765,540","5,337,276,751,563,340","POINT (-7572931163765540 5337276751563340)"
"Asociaciones turísticas","CASA DE LA CULTURA - MUSEO ""TIERRAS DE XIXARACA""","PARQUE POLICARPA","No registra","5.337162227926103, -75.72788539438123","Operación turística","-7,572,788,539,438,120","5,337,162,227,926,100","POINT (-7572788539438120 5337162227926100)"
"Asociaciones turísticas","APIQUINTOURS","Plaza principal","3218315938","5.339300940367713, -75.73012804897331","Operación turística","-7,573,012,804,897,330","5,339,300,940,367,710","POINT (-7573012804897330 5339300940367710)"
"Agencias de viaje y turismo","TURISQUINCHIA","calle 9 N. 9-48 Gobia","3113098433","5.339399221070103, -75.73114242337795","Operación turística","-7,573,114,242,337,790","5,339,399,221,070,100","POINT (-7573114242337790 5339399221070100)"
"Agencias de viaje y turismo","KARITOTREK","CTO NARANJAL","3117134477","5.322830137821965, -75.70896043837755","Operación turística","-7,570,896,043,837,750","5,322,830,137,821,960","POINT (-7570896043837750 5322830137821960)"
"Agencias de viaje y turismo","EL CIELO EN LA TIERRA","MZ 3 CASA 9 PISO 2 BRR VILLA LOLA","3116622282","5.3415357511542325, -75.72735404866384","Operación turística","-7,572,735,404,866,380","53,415,357,511,542,300","POINT (-7572735404866380 53415357511542304)"
"Centros recreacionales","CENTRO RECREACIONAL EL BAIKAL","VEREDA LA ITALICA FINCA LA ARBOLEDA","3137033728","5.347184444709044, -75.73043333604056","Operación turística","-7,573,043,333,604,050","5,347,184,444,709,040","POINT (-7573043333604050 5347184444709040)"
"Centros recreacionales","PISCINA EL PEÑOL","KILOMETRO 1 VIA PANAMERICANA","3105388408  3128337792","5.275520044182113, -75.66785695519853","Piscina, comidas","-7,566,785,695,519,850","5,275,520,044,182,110","POINT (-7566785695519850 5275520044182110)"
"Centros recreacionales","CENTRO RECREACIONAL IRRA","CORREGIMIENTO DE IRRA","3146783654","5.270117563477698, -75.66631727589801","Piscina, comidas","-7,566,631,727,589,800","5,270,117,563,477,690","POINT (-7566631727589800 5270117563477690)"
"Centros recreacionales","HOTEL CENTRAL IRRA","CORREGIMIENTO DE IRRA","No registra","5.271102593388768, -75.66639689165342","Hospedaje","-7,566,639,689,165,340","5,271,102,593,388,760","POINT (-7566639689165340 5271102593388760)"
"Guías turísticos","IGNACIO ALEJANDRO SANCHEZ  ROJAS","CARRERA 7 N 4-33","3207266066","5.337742077769156, -75.72882111159353","Guianza, interpretación ambiental y cultural","-7,572,882,111,159,350","5,337,742,077,769,150","POINT (-7572882111159350 5337742077769150)"
"Guías turísticos","YHON JAIRO MELLAN","CALLE 2 N 2-46","3147574685","5.334713567151456, -75.72775520141575","Guianza, interpretación ambiental y cultural","-7,572,775,520,141,570","5,334,713,567,151,450","POINT (-7572775520141570 5334713567151450)"
"Guías turísticos","GERMAIN VILLANEDA","BARRIO JOSE ANTONIO GALAN Cra 16a 12a-06","3118584083","5.344382137895833, -75.7331880923376","Guianza, interpretación ambiental y cultural","-757,331,880,923,376","5,344,382,137,895,830","POINT (-757331880923376 5344382137895830)"
"Guías turísticos","LUZ MARINA HERNANDEZ TREJOS","CRA 2 CLL 1 FINCA LA UNIÓN","3217929410","5.335018034243626, -75.7273379214581","Guianza, interpretación ambiental y cultural","-757,273,379,214,581","5,335,018,034,243,620","POINT (-757273379214581 5335018034243620)"
"Guías turísticos","YEINER DAVID CASTRILLO","CRA 2 CLL 1 FINCA LA UNIÓN","3217929410","5.335018034243626, -75.7273379214581","Guianza, interpretación ambiental y cultural","-757,273,379,214,581","5,335,018,034,243,620","POINT (-757273379214581 5335018034243620)"
"Guías turísticos","HECTOR LADINO","BARRIO LA PLAZUELA","3216238549","5.337322505804229, -75.72772215528785","Guianza, interpretación ambiental y cultural","-7,572,772,215,528,780","5,337,322,505,804,220","POINT (-7572772215528780 5337322505804220)"
"Guías turísticos","OSCAR LARGO","BARRIO JARDIN CR 11 13-17","3008766637","5.340386014082056, -75.73415616136367","Guianza, interpretación ambiental y cultural","-7,573,415,616,136,360","5,340,386,014,082,050","POINT (-7573415616136360 5340386014082050)"
"Guías turísticos","LEIDY CAROLINA VELASCO","CORREGIMIENTO DE NARANJAL","3117134477","5.322820665655356, -75.70887083350868","Guianza, interpretación ambiental y cultural","-7,570,887,083,350,860","5,322,820,665,655,350","POINT (-7570887083350860 5322820665655350)"
"Guías turísticos","OMAR ANTONIO RAMIREZ","BARRIO LA PLAZUELA","3103586149","5.337245216220566, -75.72787120313383","Guianza, interpretación ambiental y cultural","-7,572,787,120,313,380","5,337,245,216,220,560","POINT (-7572787120313380 5337245216220560)"
"Restaurantes","OASIS","CR 6 7 - 27 Barrio miraflorez","3117384779-3136209884","5.33745181487925, -75.73051593706138","Comidas","-7,573,051,593,706,130","533,745,181,487,925","POINT (-7573051593706130 533745181487925)"
"Restaurantes","LOS PINOS","CLL 8 9 - 30 AV Cordoba","3216148961","5.339060220550015, -75.73049539500678","Comidas","-7,573,049,539,500,670","5,339,060,220,550,010","POINT (-7573049539500670 5339060220550010)"
"Restaurantes","EL BALCON DE LAS DELICIAS","CR 7 N 7 - 37","3145934139-3125817264","5.337703112837517, -75.73054816107296","Comidas","-7,573,054,816,107,290","5,337,703,112,837,510","POINT (-7573054816107290 5337703112837510)"
"Restaurantes","GUAYACANES","VEREDA MURRAPAL","3145395917","5.3328799924524555, -75.7370070732012","Comidas","-757,370,070,732,012","53,328,799,924,524,500","POINT (-757370070732012 53328799924524496)"
"Restaurantes","POLLOS FERCHO","CR 7 N 4 - 30","3208245148","5.337786384391709, -75.72881218634066","Comidas","-7,572,881,218,634,060","5,337,786,384,391,700","POINT (-7572881218634060 5337786384391700)"
"Restaurantes","LA SULTANA","VEREDA RIO GRANDE","3136205899-3134920501","5.373606744671772, -75.73517193280094","Comidas","-7,573,517,193,280,090","5,373,606,744,671,770","POINT (-7573517193280090 5373606744671770)"
"Restaurantes","PESCA DEPORTIVA LAS MARIAS","VEREDA QUINCHIA VIEJO","3207345661","5.3402028803814625, -75.72274616564972","Comidas, Pesca deportiva","-7,572,274,616,564,970","53,402,028,803,814,600","POINT (-7572274616564970 53402028803814600)"
"Restaurantes","LAS PALMERAS","Cr 8 #7-26","3128705970","5.338276497894018, -75.73039731472649","Comidas","-7,573,039,731,472,640","5,338,276,497,894,010","POINT (-7573039731472640 5338276497894010)"
"Restaurantes","LA RUNA","CLL 6 4-03 Barrio Miraflorez","3103139872","5.34190237802428, -75.73061180697573","Comidas","-7,573,061,180,697,570","534,190,237,802,428","POINT (-7573061180697570 534190237802428)"
"Restaurantes","QUINPOLLO","CLL 8 #7- 36","3195519202","5.337956549269296, -75.73047386186943","Comidas","-7,573,047,386,186,940","5,337,956,549,269,290","POINT (-7573047386186940 5337956549269290)"
"Restaurantes","MOLL DE COMIDAS LLANGA","Cra 11 # 6-42 Casa Loma","3103981901","5.34022897590576, -75.72992051439586","Comidas","-7,572,992,051,439,580","534,022,897,590,576","POINT (-7572992051439580 534022897590576)"
"Restaurantes","COCINA CON ALMA","CRA 11 N° 9A-08 Barrio Jaardín","3117370327","5.340398314322739, -75.73133298823802","Comidas","-7,573,133,298,823,800","5,340,398,314,322,730","POINT (-7573133298823800 5340398314322730)"
"Restaurantes","LA MERCED","CRA 6   6-10","3203427861","5.337473554794642, -75.72993439658273","Comidas","-7,572,993,439,658,270","5,337,473,554,794,640","POINT (-7572993439658270 5337473554794640)"
"Restaurantes","LA SAZON DE MAMÁ","CRA 17 10 -028 Barrio Gaitan contiguo a la Virgen de Barrio Jose Galán","3137033728","5.345386920267338, -75.73180709767705","Comidas","-7,573,180,709,767,700","5,345,386,920,267,330","POINT (-7573180709767700 5345386920267330)"
"Restaurantes","PICNIC EL RANCHO DEL TIO","VEREDA MORRO","3222744890","5.337107068076907, -75.7341519209","Comidas","-757,341,519,209","5,337,107,068,076,900","POINT (-757341519209 5337107068076900)"
"Restaurantes","VILLA GLORIA","VEREDA MURRAPAL","3128032321","5.329525287631966, -75.73849756286482","Comidas","-7,573,849,756,286,480","5,329,525,287,631,960","POINT (-7573849756286480 5329525287631960)"
"Restaurantes","EL SAZON  DE ZAIDEE","Cr 8 #7-26","3242139863","5.338320770447194, -75.73039066150051","Comidas","-7,573,039,066,150,050","5,338,320,770,447,190","POINT (-7573039066150050 5338320770447190)"
"Comidas rápidas","PARILLA URBANA","CLL8 N° 11-02 AV Cordoba","3137348026","5.340469161544821, -75.73045427314246","Comidas","-7,573,045,427,314,240","5,340,469,161,544,820","POINT (-7573045427314240 5340469161544820)"
"Comidas rápidas","LA CUCHA","CR 15 N° 12A-16 Barrio Galan","3127698938","5.3437468602855915, -75.73308268587161","Comidas","-7,573,308,268,587,160","53,437,468,602,855,900","POINT (-7573308268587160 53437468602855904)"
"Comidas rápidas","DONDE EL PADRINO","CLL8 N°11-06 AV Cordoba","3223828096","5.338085905411564, -75.72904841822688","Comidas","-7,572,904,841,822,680","5,338,085,905,411,560","POINT (-7572904841822680 5338085905411560)"
"Comidas rápidas","LA CUEVA DEL OSO","CR 10 N°9-16 Barrio Jardín","3113932763","5.339595441937081, -75.73128506399854","Comidas","-7,573,128,506,399,850","5,339,595,441,937,080","POINT (-7573128506399850 5339595441937080)"
"Comidas rápidas","CHEF LE BRUM","CLL9 N° 7-17","3164090278-3125810613","5.33776290553569, -75.73125311822695","Comidas","-7,573,125,311,822,690","533,776,290,553,569","POINT (-7573125311822690 533776290553569)"
"Comidas rápidas","DONDE CHAMO","CR 5 N° 7-35","314525964-3136391448","5.337020370478105, -75.73056626240347","Comidas","-7,573,056,626,240,340","5,337,020,370,478,100","POINT (-7573056626240340 5337020370478100)"
"Comidas rápidas","MUÑOZ PIZZA","CLL 8 12-03 AV Cordoba","3135692808","5.341570539574396, -75.73030114706218","Comidas","-7,573,030,114,706,210","5,341,570,539,574,390","POINT (-7573030114706210 5341570539574390)"
"Comidas rápidas","DULCERIA Y COMIDAS RAPIDAS GLORIA","CR 7 N°6-08 Parque Principal","3104358494-3146789758","5.337631182554292, -75.72912083992209","Comidas","-7,572,912,083,992,200","5,337,631,182,554,290","POINT (-7572912083992200 5337631182554290)"
"Comidas rápidas","EL COYOTE QUINCHIA","CLL8 N° 11-02 AV Cordoba","3217473017-3145727549","5.341167197152821, -75.73046844447948","Comidas","-7,573,046,844,447,940","5,341,167,197,152,820","POINT (-7573046844447940 5341167197152820)"
"Comidas rápidas","LA PAPADA","anden AL LADO DE WAOS  calle 8 con cra 9","No registra","5.338905817988635, -75.73046833962232","Comidas","-7,573,046,833,962,230","5,338,905,817,988,630","POINT (-7573046833962230 5338905817988630)"
"Bares","BOHEMIA SODA CLUB","CRA 17 10 -028 Barrio Gaitan contiguo a la Virgen de Barrio Jose Galán","3122262450","5.345283297861298, -75.73198768807703","Bebidas, comidas","-7,573,198,768,807,700","5,345,283,297,861,290","POINT (-7573198768807700 5345283297861290)"
"Bares","PA QUE VEA CAFÉ Y HELADO","CALLE 5 CRA 6 ESQ 5-13","3182106084","5.337447549887809, -75.72906912692883","Bebidas","-7,572,906,912,692,880","5,337,447,549,887,800","POINT (-7572906912692880 5337447549887800)"
"Bares","CERVETECA","CALLE 5 5-35","3216094032","5.337002487851875, -75.72923772768873","Bebidas","-7,572,923,772,768,870","5,337,002,487,851,870","POINT (-7572923772768870 5337002487851870)"
"Bares","BACATA","CALLE 5 6-36","3117602072","5.337689030762893, -75.72880886211772","Bebidas","-7,572,880,886,211,770","5,337,689,030,762,890","POINT (-7572880886211770 5337689030762890)"
"Bares","MONACO","CALLE 5 6-37","3106336510","5.337600452395851, -75.72907622486836","Bebidas","-7,572,907,622,486,830","5,337,600,452,395,850","POINT (-7572907622486830 5337600452395850)"
"Bares","ESTANQUILLO BAR ENTRE COMILLAS","CRA7 4-29","3166251101","5.337715975854769, -75.72908537151368","Bebidas","-7,572,908,537,151,360","5,337,715,975,854,760","POINT (-7572908537151360 5337715975854760)"
"Bares","DISCOTECA FUEGO","CRA 7  4-30","3166251101","5.337772410112889, -75.7288985899687","Bebidas","-757,288,985,899,687","5,337,772,410,112,880","POINT (-757288985899687 5337772410112880)"
"Bares","BEER PARA CREER","CRA 6 5-29","3234968754","5.337422091337664, -75.72885736781159","Bebidas","-7,572,885,736,781,150","5,337,422,091,337,660","POINT (-7572885736781150 5337422091337660)"
"Café especiales","XIXARACA","CALLE 7 NRO. 4 09","3146932579","5.336502507696012, -75.73033364248388","café shop, snacks","-7,573,033,364,248,380","5,336,502,507,696,010","POINT (-7573033364248380 5336502507696010)"
"Café especiales","EMILIA CAFE CLUB","CRA 8 # 3-25","3113669177","5.337363005689355, -75.72955848939165","café shop, snacks","-7,572,955,848,939,160","5,337,363,005,689,350","POINT (-7572955848939160 5337363005689350)"
"Café especiales","SOFY'S COFFEE","BARRIO LA PLAZUELA","3115282976","5.337656005576752, -75.7280473047328","café shop, snacks","-757,280,473,047,328","5,337,656,005,576,750","POINT (-757280473047328 5337656005576750)"
"Café especiales","CAFE LA MERCED","CARRERA 7  NO. 4  48","3203427861","5.337810083204802, -75.72903751621342","café shop, snacks","-7,572,903,751,621,340","5,337,810,083,204,800","POINT (-7572903751621340 5337810083204800)"
"Café especiales","LA FONDA DE PLANETA","CRA 7 # 5-26 PARQUE PRINCIPAL","3128318906","5.3378141793647025, -75.72937759698685","café shop, snacks","-7,572,937,759,698,680","53,378,141,793,647,000","POINT (-7572937759698680 53378141793647000)"
"Café especiales","MIRADOR COPITA","calle 10 7-20 Gobia","3147555852","5.338158724761601, -75.73173595203423","café shop, snacks","-7,573,173,595,203,420","5,338,158,724,761,600","POINT (-7573173595203420 5338158724761600)"
"Café especiales","HELADERIA Y CAFE DELIIIS","CRA 6 5-15","3136358216","5.337360221971298, -75.72954861058751","café shop, snacks","-7,572,954,861,058,750","5,337,360,221,971,290","POINT (-7572954861058750 5337360221971290)"
"Café especiales","QUIMERA","Carrera 6 N 6-15 piso 2","3113156879","5.337452871759746, -75.72986212716788","café shop, snacks","-7,572,986,212,716,780","5,337,452,871,759,740","POINT (-7572986212716780 5337452871759740)"
"Filigrana arte","ARTES Y JOYAS","Calle 6 #7-15","3145661492 / 3117619490","5.33784521030843, -75.72969802951135","Arte y joyas","-7,572,969,802,951,130","533,784,521,030,843","POINT (-7572969802951130 533784521030843)"
"Filigrana arte","XIXARACA JOYERIA (EN FILIGRANA,ORO Y PLATA)","Calle 4 #6-22","3218342645","5.337573706051787, -75.72850245957714","Arte y joyas","-7,572,850,245,957,710","5,337,573,706,051,780","POINT (-7572850245957710 5337573706051780)"
"Filigrana arte","COMPRA Y VENTA DE ORO LA PLAZUELA","Cra 6a #3-09 LA PLAZUELA","3128083040","5.337259912976772, -75.72809208161026","Arte y joyas","-7,572,809,208,161,020","5,337,259,912,976,770","POINT (-7572809208161020 5337259912976770)"
"Filigrana arte","AHITAMARA JOYAS DE LOS CERROS ENTRETEJIDOS","Cra 7 # 3-45","3135087181 / 3135395551","5.33769267944268, -75.72844874873428","Arte y joyas","-7,572,844,874,873,420","533,769,267,944,268","POINT (-7572844874873420 533769267944268)"
"Arte y pintura","MATICES","Plaza principal","3146943921",,"Artes",,,
"Arte y pintura","ARTE GUACUMA","EN SEGUIDA DROGUERIA QUINCHIA","3217238685","5.3375167425037455, -75.73042377707282","Artes","-7,573,042,377,707,280","53,375,167,425,037,400","POINT (-7573042377707280 53375167425037400)"
"Arte y pintura","MANUALIDADES NANA VALENCIA - PORCELANICRON","Plaza principal","3116134650",,"Artes",,,
"Arte y pintura","LOS PICASSOS - PINTURA Y MURALISMO","Plaza principal","3202129285","5.338788854707574, -75.72918776775266","Artes","-7,572,918,776,775,260","5,338,788,854,707,570","POINT (-7572918776775260 5338788854707570)"
